ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000210049,MT-TF,MTTF,mttf,ensembl:human
ENSG00000210049,MT-TF,TRNF,trnf,ensembl:human
ENSG00000211459,MT-RNR1,12S,12s,ensembl:human
ENSG00000211459,MT-RNR1,MOTS-C,motsc,ensembl:human
ENSG00000211459,MT-RNR1,MTRNR1,mtrnr1,ensembl:human
ENSG00000210077,MT-TV,MTTV,mttv,ensembl:human
ENSG00000210077,MT-TV,TRNV,trnv,ensembl:human
ENSG00000210082,MT-RNR2,16S,16s,ensembl:human
ENSG00000210082,MT-RNR2,HN,hn,ensembl:human
ENSG00000210082,MT-RNR2,MTRNR2,mtrnr2,ensembl:human
ENSG00000209082,MT-TL1,MTTL1,mttl1,ensembl:human
ENSG00000209082,MT-TL1,TRNL1,trnl1,ensembl:human
ENSG00000198888,MT-ND1,MTND1,mtnd1,ensembl:human
ENSG00000198888,MT-ND1,NAD1,nad1,ensembl:human
ENSG00000198888,MT-ND1,ND1,nd1,ensembl:human
ENSG00000210100,MT-TI,MTTI,mtti,ensembl:human
ENSG00000210100,MT-TI,TRNI,trni,ensembl:human
ENSG00000210107,MT-TQ,MTTQ,mttq,ensembl:human
ENSG00000210107,MT-TQ,TRNQ,trnq,ensembl:human
ENSG00000210112,MT-TM,MTTM,mttm,ensembl:human
ENSG00000210112,MT-TM,TRNM,trnm,ensembl:human
ENSG00000198763,MT-ND2,MTND2,mtnd2,ensembl:human
ENSG00000198763,MT-ND2,NAD2,nad2,ensembl:human
ENSG00000198763,MT-ND2,ND2,nd2,ensembl:human
ENSG00000210117,MT-TW,MTTW,mttw,ensembl:human
ENSG00000210117,MT-TW,TRNW,trnw,ensembl:human
ENSG00000210127,MT-TA,MTTA,mtta,ensembl:human
ENSG00000210127,MT-TA,TRNA,trna,ensembl:human
ENSG00000210135,MT-TN,MTTN,mttn,ensembl:human
ENSG00000210135,MT-TN,TRNN,trnn,ensembl:human
ENSG00000210140,MT-TC,MTTC,mttc,ensembl:human
ENSG00000210140,MT-TC,TRNC,trnc,ensembl:human
ENSG00000210144,MT-TY,MTTY,mtty,ensembl:human
ENSG00000210144,MT-TY,TRNY,trny,ensembl:human
ENSG00000198804,MT-CO1,COI,coi,ensembl:human
ENSG00000198804,MT-CO1,COX1,cox1,ensembl:human
ENSG00000198804,MT-CO1,MTCO1,mtco1,ensembl:human
ENSG00000210151,MT-TS1,MTTS1,mtts1,ensembl:human
ENSG00000210151,MT-TS1,TRNS1,trns1,ensembl:human
ENSG00000210154,MT-TD,MTTD,mttd,ensembl:human
ENSG00000210154,MT-TD,TRND,trnd,ensembl:human
ENSG00000198712,MT-CO2,CO2,co2,ensembl:human
ENSG00000198712,MT-CO2,COX2,cox2,ensembl:human
ENSG00000198712,MT-CO2,MTCO2,mtco2,ensembl:human
ENSG00000210156,MT-TK,MERRF,merrf,ensembl:human
ENSG00000210156,MT-TK,MTTK,mttk,ensembl:human
ENSG00000210156,MT-TK,TRNK,trnk,ensembl:human
ENSG00000228253,MT-ATP8,A6L,a6l,ensembl:human
ENSG00000228253,MT-ATP8,ATP8,atp8,ensembl:human
ENSG00000228253,MT-ATP8,MTATP8,mtatp8,ensembl:human
ENSG00000228253,MT-ATP8,URFA6L,urfa6l,ensembl:human
ENSG00000198899,MT-ATP6,ATP6,atp6,ensembl:human
ENSG00000198899,MT-ATP6,ATPASE-6,atpase6,ensembl:human
ENSG00000198899,MT-ATP6,MTATP6,mtatp6,ensembl:human
ENSG00000198899,MT-ATP6,RP,rp,ensembl:human
ENSG00000198899,MT-ATP6,SU6M,su6m,ensembl:human
ENSG00000198938,MT-CO3,CO3,co3,ensembl:human
ENSG00000198938,MT-CO3,COIII,coiii,ensembl:human
ENSG00000198938,MT-CO3,COX3,cox3,ensembl:human
ENSG00000198938,MT-CO3,MTCO3,mtco3,ensembl:human
ENSG00000210164,MT-TG,MTTG,mttg,ensembl:human
ENSG00000210164,MT-TG,TRNG,trng,ensembl:human
ENSG00000198840,MT-ND3,MTND3,mtnd3,ensembl:human
ENSG00000198840,MT-ND3,NAD3,nad3,ensembl:human
ENSG00000198840,MT-ND3,ND3,nd3,ensembl:human
ENSG00000210174,MT-TR,MTTR,mttr,ensembl:human
ENSG00000210174,MT-TR,TRNR,trnr,ensembl:human
ENSG00000212907,MT-ND4L,MTND4L,mtnd4l,ensembl:human
ENSG00000212907,MT-ND4L,NAD4L,nad4l,ensembl:human
ENSG00000212907,MT-ND4L,ND4L,nd4l,ensembl:human
ENSG00000198886,MT-ND4,LHON,lhon,ensembl:human
ENSG00000198886,MT-ND4,MTND4,mtnd4,ensembl:human
ENSG00000198886,MT-ND4,NAD4,nad4,ensembl:human
ENSG00000198886,MT-ND4,ND4,nd4,ensembl:human
ENSG00000210176,MT-TH,MTTH,mtth,ensembl:human
ENSG00000210176,MT-TH,TRNH,trnh,ensembl:human
ENSG00000210184,MT-TS2,MTTS2,mtts2,ensembl:human
ENSG00000210184,MT-TS2,RP8,rp8,ensembl:human
ENSG00000210184,MT-TS2,TRNS2,trns2,ensembl:human
ENSG00000210191,MT-TL2,MTTL2,mttl2,ensembl:human
ENSG00000210191,MT-TL2,TRNL2,trnl2,ensembl:human
ENSG00000198786,MT-ND5,MTND5,mtnd5,ensembl:human
ENSG00000198786,MT-ND5,NAD5,nad5,ensembl:human
ENSG00000198786,MT-ND5,ND5,nd5,ensembl:human
ENSG00000198695,MT-ND6,MTND6,mtnd6,ensembl:human
ENSG00000198695,MT-ND6,NAD6,nad6,ensembl:human
ENSG00000198695,MT-ND6,ND6,nd6,ensembl:human
ENSG00000210194,MT-TE,MTTE,mtte,ensembl:human
ENSG00000210194,MT-TE,TRNE,trne,ensembl:human
ENSG00000198727,MT-CYB,COB,cob,ensembl:human
ENSG00000198727,MT-CYB,CYTB,cytb,ensembl:human
ENSG00000198727,MT-CYB,MTCYB,mtcyb,ensembl:human
ENSG00000198727,MT-CYB,UQCR3,uqcr3,ensembl:human
ENSG00000210195,MT-TT,LIMM,limm,ensembl:human
ENSG00000210195,MT-TT,MTTT,mttt,ensembl:human
ENSG00000210195,MT-TT,TRNT,trnt,ensembl:human
ENSG00000210196,MT-TP,MTTP,mttp,ensembl:human
ENSG00000210196,MT-TP,TRNP,trnp,ensembl:human
ENSG00000274847,MAFIP,FLJ00219,flj00219,ensembl:human
ENSG00000274847,MAFIP,FLJ35473,flj35473,ensembl:human
ENSG00000274847,MAFIP,FLJ39633,flj39633,ensembl:human
ENSG00000274847,MAFIP,MIP,mip,ensembl:human
ENSG00000274847,MAFIP,PP5644,pp5644,ensembl:human
ENSG00000274847,MAFIP,TEKT4P4,tekt4p4,ensembl:human
ENSG00000280775,RNA5SP136,RN5S136,rn5s136,ensembl:human
ENSG00000281766,RYBP,AAP1,aap1,ensembl:human
